egid,gkat,gklas,status,street,zip,city,description,building_type,coordinate_lat,coordinate_lon,area,volume,url
199688,1020,1122,Existing,Franz-Zelgerstrasse 9,6023,Rothenburg,,RESIDENTIAL,2663131.507,1216293.04,191,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199688_0&time=None&lang=de&topic=ech
191557632,1020,1122,Existing,Kapfweg 5,6020,Emmen,Neubau Mehrfamilienhaus,RESIDENTIAL,2663453.431,1215878.441,234,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191557632_0&time=None&lang=de&topic=ech
3082028,1020,1110,Existing,Bachtalen 31b,6020,Emmen,,RESIDENTIAL,2663058.646,1215681.401,59,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=3082028_0&time=None&lang=de&topic=ech
199955,1020,1121,Existing,Eschenbachstrasse 13,6023,Rothenburg,,RESIDENTIAL,2663413.128,1216616.508,117,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199955_0&time=None&lang=de&topic=ech
190902574,1020,1122,Existing,Krauerhusweg 2,6206,Neuenkirch,,RESIDENTIAL,2657840.08,1217285.315,310,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=190902574_0&time=None&lang=de&topic=ech
200332,1040,,Existing,Buzibachring 10,6023,Rothenburg,,RESIDENTIAL,2661926.186,1215903.06,931,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=200332_0&time=None&lang=de&topic=ech
191679456,1060,1271,Existing,Windblosen 5.1,6206,Neuenkirch,,AGRICULTURAL,2655980.292,1215785.706,2105,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191679456_0&time=None&lang=de&topic=ech
223372,1020,1110,Existing,Windblosenstrasse 6,6206,Neuenkirch,,RESIDENTIAL,2657904.8,1216664.959,142,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223372_0&time=None&lang=de&topic=ech
195089,1020,1110,Existing,Kapfweid 19,6020,Emmen,,RESIDENTIAL,2663609.817,1215592.387,138,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=195089_0&time=None&lang=de&topic=ech
223442,1020,1121,Existing,Eggstrasse 21,6206,Neuenkirch,,RESIDENTIAL,2657415.449,1216989.54,137,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223442_0&time=None&lang=de&topic=ech
2384180,1020,1110,Existing,Bachtalen 33,6020,Emmen,,RESIDENTIAL,2663056.995,1215653.632,118,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2384180_0&time=None&lang=de&topic=ech
200374,1020,1121,Existing,Lügisingen 2,6023,Rothenburg,,RESIDENTIAL,2661889.272,1216815.446,138,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=200374_0&time=None&lang=de&topic=ech
223684,1030,1122,Existing,Sonnmattstrasse 4,6206,Neuenkirch,,RESIDENTIAL,2659482.522,1216329.312,177,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223684_0&time=None&lang=de&topic=ech
191694617,1020,1122,Existing,Eschenmatte 43,6023,Rothenburg,Mehrfamilienhaus,RESIDENTIAL,2662470.805,1216230.724,198,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=191694617_0&time=None&lang=de&topic=ech
90003154,1020,1121,Existing,Hubelrain 12b,6206,Neuenkirch,,RESIDENTIAL,2657447.042,1217334.589,121,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=90003154_0&time=None&lang=de&topic=ech
190530368,1020,1110,Existing,Maiengrüenipark 2,6206,Neuenkirch,,RESIDENTIAL,2657999.882,1217151.142,77,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=190530368_0&time=None&lang=de&topic=ech
502292648,1060,1241,Existing,Wahligewald 1.2,6206,Neuenkirch,Antennenanlage,NON_RESIDENTIAL,2659888.487,1216407.871,14,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292648_0&time=None&lang=de&topic=ech
502292647,1060,1274,Existing,Weiherhüsli 10.1,6206,Neuenkirch,Ökonomiegebäude,NON_RESIDENTIAL,2659363.496,1215973.723,44,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=502292647_0&time=None&lang=de&topic=ech
223840,1020,1110,Existing,Hungerbühl 2,6206,Neuenkirch,Wärterhaus,RESIDENTIAL,2659726.906,1217792.776,50,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=223840_0&time=None&lang=de&topic=ech
3035741,1030,1122,Existing,Pfrundmatte 9c,6206,Neuenkirch,,RESIDENTIAL,2658088.782,1216987.659,384,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=3035741_0&time=None&lang=de&topic=ech
199560,1020,1122,Existing,Eichenring 13,6023,Rothenburg,,RESIDENTIAL,2662420.535,1216328.378,197,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=199560_0&time=None&lang=de&topic=ech
2384604,1020,1110,Existing,Fläckehof 34,6023,Rothenburg,,RESIDENTIAL,2662815.194,1216099.117,69,,https://map.geo.admin.ch/?ch.bfs.gebaeude_wohnungs_register=2384604_0&time=None&lang=de&topic=ech
